PriceList,Catalog,GradeGroup,Price
EQ3 EXW US V5,30137-19,F,1470.025
EQ3 EXW US V5,30137-19,I,1620.025
EQ3 EXW US V5,30137-19,41,nan
EQ3 EXW US V5,30137-19,42,nan
EQ3 EXW US V5,30137-20,10,620.0
EQ3 EXW US V5,30137-20,20,660.0
EQ3 EXW US V5,30137-20,30,690.0
EQ3 EXW US V5,30137-20,31,690.0
EQ3 EXW US V5,30137-20,40,720.0
EQ3 EXW US V5,30137-20,50,770.0
EQ3 EXW US V5,30137-20,60,820.0
EQ3 EXW US V5,30137-20,70,870.0
EQ3 EXW US V5,30137-20,F,1470.025
EQ3 EXW US V5,30137-20,I,1620.025
EQ3 EXW US V5,30137-20,41,nan
EQ3 EXW US V5,30137-20,42,nan
EQ3 EXW US V5,30137-35,10,624.0
EQ3 EXW US V5,30137-35,20,664.0
EQ3 EXW US V5,30137-35,30,694.0
EQ3 EXW US V5,30137-35,31,694.0
EQ3 EXW US V5,30137-35,40,724.0
EQ3 EXW US V5,30137-35,50,774.0
EQ3 EXW US V5,30137-35,60,824.0
EQ3 EXW US V5,30137-35,70,874.0
EQ3 EXW US V5,30137-35,F,1303.6475
EQ3 EXW US V5,30137-35,I,1423.6475
EQ3 EXW US V5,30137-35,41,nan
EQ3 EXW US V5,30137-35,42,nan
EQ3 EXW US V5,30137-36,10,624.0
EQ3 EXW US V5,30137-36,20,664.0
EQ3 EXW US V5,30137-36,30,694.0
EQ3 EXW US V5,30137-36,31,694.0
EQ3 EXW US V5,30137-36,40,724.0
EQ3 EXW US V5,30137-36,50,774.0
EQ3 EXW US V5,30137-36,60,824.0
EQ3 EXW US V5,30137-36,70,874.0
EQ3 EXW US V5,30137-36,F,1303.6475
EQ3 EXW US V5,30137-36,I,1423.6475
EQ3 EXW US V5,30137-36,41,nan
EQ3 EXW US V5,30137-36,42,nan
EQ3 EXW US V5,30137-41,10,66.0
EQ3 EXW US V5,30137-41,20,71.0
EQ3 EXW US V5,30137-41,30,76.0
EQ3 EXW US V5,30137-41,31,76.0
EQ3 EXW US V5,30137-41,40,81.0
EQ3 EXW US V5,30137-41,50,91.0
EQ3 EXW US V5,30137-41,60,101.0
EQ3 EXW US V5,30137-41,70,106.0
EQ3 EXW US V5,30137-41,F,236.465
EQ3 EXW US V5,30137-41,I,266.465
EQ3 EXW US V5,30137-41,41,nan
EQ3 EXW US V5,30137-41,42,nan
EQ3 EXW US V5,30137-64,10,169.0
